#Simulation Analysis Results CSV File 2023-12-18T22:48:10.190704
#Generated on structure: ""
TimeStep,RMSD_Backbone_8020,Rad_Gyration_8020
0.0,8.49653842802e-15,23.5246882948
100.002,0.955211470909,23.562605171
200.004,0.9837554505,23.6781601892
300.00600000000003,0.991198602251,23.5276765591
400.008,1.01885422088,23.5543017115
500.01,1.09516328757,23.5128378788
600.0120000000001,1.05163805458,23.5852844943
700.014,0.99493610853,23.5969417266
800.016,1.1257209177,23.7067103942
900.018,1.14353035517,23.6943121652
1000.02,1.23161098316,23.5992519929
1100.022,1.04525488479,23.6712391363
1200.0240000000001,1.18247068988,23.5739177366
1300.026,1.02558567124,23.6574159721
1400.028,1.04001803842,23.6141580814
1500.03,1.15618762358,23.7355365744
1600.032,1.16096401801,23.5819220387
1700.034,1.24226783195,23.7176831907
1800.036,1.30213587615,23.7323367209
1900.038,1.10760100543,23.6156986176
2000.04,1.11724390124,23.5782080018
2100.042,1.16262721793,23.6549829157
2200.044,1.15913737107,23.6796353512
2300.046,1.09407507627,23.67945866
2400.0480000000002,1.11119374895,23.6607368982
2500.05,1.21742393755,23.6928137257
2600.052,1.2080183501,23.7261180943
2700.054,1.13410337702,23.7058197903
2800.056,1.02545786935,23.6968691475
2900.058,1.12130571542,23.6879669431
3000.06,1.17617140293,23.6932712997
3100.062,1.18264795982,23.6326343947
3200.064,1.10948278236,23.6220934134
3300.0660000000003,1.23543028219,23.6745836484
3400.068,1.10189665832,23.6134294008
3500.07,1.17968026653,23.6606166276
3600.072,1.07204056934,23.7014532973
3700.074,1.11492984966,23.6199792069
3800.076,1.1663572349,23.7785429017
3900.078,1.05206654717,23.6187691393
4000.08,1.071162318,23.6844626267
4100.082,1.108782201,23.533180121
4200.084,1.16333948629,23.5607536734
4300.086,1.15063811138,23.6509489976
4400.088,1.09971393185,23.5401465424
4500.09,1.16482347029,23.6803914112
4600.092,1.09803617388,23.5706073219
4700.094,1.18591420965,23.6238751328
4800.0960000000005,1.14301004283,23.6793541488
4900.098,1.1416470599,23.6352718599
5000.1,1.1975652802,23.6564423308
5100.102,1.18142924739,23.7308884113
5200.104,1.25390396563,23.6929525525
5300.106,1.3546904764,23.6412301929
5400.108,1.23078316835,23.6470181719
5500.11,1.33832590721,23.5989772199
5600.112,1.17665375177,23.6458944329
5700.1140000000005,1.28244510154,23.6287718606
5800.116,1.39841598432,23.5988375108
5900.118,1.22285467693,23.6617172912
6000.12,1.27570748599,23.6670783351
6100.122,1.45871674206,23.6905200794
6200.124,1.30288077809,23.7010759673
6300.126,1.3527902576,23.6729572934
6400.128,1.40743063754,23.5489577824
6500.13,1.32160195033,23.6347700223
6600.1320000000005,1.3411349219,23.6414145252
6700.134,1.42593890109,23.7272495246
6800.136,1.38015141106,23.6400964604
6900.138,1.37185609019,23.6335754014
7000.14,1.41828148801,23.6631670019
7100.142,1.45583821127,23.7204957333
7200.144,1.41036206707,23.6609932559
7300.146,1.34750873237,23.6259084162
7400.148,1.54999151929,23.715219303
7500.150000000001,1.4253010466,23.7205587699
7600.152,1.21519529737,23.7157846305
7700.154,1.27432096349,23.7381791007
7800.156,1.22751787681,23.6926460043
7900.158,1.29291997051,23.627611285
8000.16,1.2249690905,23.6192161307
8100.162,1.25224641894,23.6571334564
8200.164,1.23992671112,23.6778466181
8300.166000000001,1.33542891411,23.7297973741
8400.168,1.26280805801,23.6937651295
8500.17,1.25284937274,23.6372582335
8600.172,1.31934704477,23.6369657587
8700.174,1.28548243341,23.6097931556
8800.176,1.42998723914,23.6301094884
8900.178,1.39340060246,23.5070900767
9000.18,1.38645364186,23.6130769917
9100.182,1.40245114397,23.5294952125
9200.184,1.4094922236,23.5907636704
9300.186,1.44670919261,23.5456133559
9400.188,1.49401535149,23.6620933629
9500.19,1.37845636619,23.7532685628
9600.192000000001,1.45901279074,23.69437678
9700.194,1.30851608232,23.6458744172
9800.196,1.39041253172,23.6340661291
9900.198,1.42482166002,23.6651325536
10000.2,1.40571941673,23.5038356509
10100.202,1.54261477133,23.6366096872
10200.204,1.53844617762,23.5677492497
10300.206,1.48951647553,23.5665622558
10400.208,1.51444527914,23.5673738191
10500.210000000001,1.42408987004,23.6085686162
10600.212,1.44219121644,23.546400064
10700.214,1.46602993368,23.576363846
10800.216,1.36734387705,23.5420904235
10900.218,1.32407619305,23.6466260293
11000.22,1.37943270123,23.6639916308
11100.222,1.40036632796,23.5621134765
11200.224,1.37430718876,23.7588980977
11300.226,1.47179116666,23.6540128179
11400.228000000001,1.47116623826,23.7211896149
11500.23,1.3955527121,23.5235095193
11600.232,1.40272595849,23.6348096217
